,지역,분기,전체 점포수,길단위 유동인구,개업수,폐업수,개업률,폐업률
0,서울시 전체,2021-1,571107,37002,11979,12372,2.1,2.2
1,종로구,2021-1,24918,19869,381,454,1.5,1.8
2,중구,2021-1,38406,44917,388,796,1.0,2.1
3,용산구,2021-1,18696,25994,310,388,1.7,2.1
4,성동구,2021-1,17085,39264,389,351,2.3,2.1
5,광진구,2021-1,18870,51931,432,402,2.3,2.1
6,동대문구,2021-1,20926,66321,395,429,1.9,2.1
7,중랑구,2021-1,16161,53803,359,346,2.2,2.1
8,성북구,2021-1,17019,43694,371,385,2.2,2.3
9,강북구,2021-1,13393,35922,334,304,2.5,2.3
10,도봉구,2021-1,11671,30224,269,236,2.3,2.0
11,노원구,2021-1,18182,26530,450,447,2.5,2.5
12,은평구,2021-1,18368,38383,435,420,2.4,2.3
13,서대문구,2021-1,14793,51787,308,350,2.1,2.4
14,마포구,2021-1,28156,42596,663,689,2.4,2.4
15,양천구,2021-1,18373,46723,455,398,2.5,2.2
16,강서구,2021-1,26095,27698,727,706,2.8,2.7
17,구로구,2021-1,22065,36546,385,396,1.7,1.8
18,금천구,2021-1,15567,31043,342,297,2.2,1.9
19,영등포구,2021-1,27055,44698,594,610,2.2,2.3
20,동작구,2021-1,15692,48107,318,329,2.0,2.1
21,관악구,2021-1,19720,42961,521,443,2.6,2.2
22,서초구,2021-1,36143,19773,655,728,1.8,2.0
23,강남구,2021-1,55536,34420,1186,1204,2.1,2.2
24,송파구,2021-1,37275,36535,808,781,2.2,2.1
25,강동구,2021-1,20942,43755,504,483,2.4,2.3
26,서울시 전체,2021-2,572073,36677,15400,13967,2.7,2.4
27,종로구,2021-2,24835,20336,481,534,1.9,2.2
28,중구,2021-2,38042,46200,483,794,1.3,2.1
29,용산구,2021-2,18689,26061,389,369,2.1,2.0
30,성동구,2021-2,17145,39606,481,397,2.8,2.3
31,광진구,2021-2,18910,51147,547,491,2.9,2.6
32,동대문구,2021-2,20884,66218,520,522,2.5,2.5
33,중랑구,2021-2,16219,52277,540,469,3.3,2.9
34,성북구,2021-2,17060,43142,503,446,2.9,2.6
35,강북구,2021-2,13417,35000,438,400,3.3,3.0
36,도봉구,2021-2,11713,29551,341,300,2.9,2.6
37,노원구,2021-2,18200,26115,532,503,2.9,2.8
38,은평구,2021-2,18424,37395,580,509,3.1,2.8
39,서대문구,2021-2,14847,52116,447,377,3.0,2.5
40,마포구,2021-2,28384,42875,1007,753,3.5,2.7
41,양천구,2021-2,18427,45931,523,465,2.8,2.5
42,강서구,2021-2,26335,26772,988,745,3.8,2.8
43,구로구,2021-2,22107,35917,527,464,2.4,2.1
44,금천구,2021-2,15576,30590,421,405,2.7,2.6
45,영등포구,2021-2,27076,44506,709,674,2.6,2.5
46,동작구,2021-2,15733,47247,452,398,2.9,2.5
47,관악구,2021-2,19727,42269,632,613,3.2,3.1
48,서초구,2021-2,36191,19914,741,677,2.0,1.9
49,강남구,2021-2,55783,34963,1493,1212,2.7,2.2
50,송파구,2021-2,37317,36091,967,891,2.6,2.4
51,강동구,2021-2,21032,43656,658,559,3.1,2.7
52,서울시 전체,2021-3,571996,36086,12778,12401,2.2,2.2
53,종로구,2021-3,24743,19549,415,497,1.7,2.0
54,중구,2021-3,37718,43482,403,699,1.1,1.9
55,용산구,2021-3,18694,25567,394,367,2.1,2.0
56,성동구,2021-3,17191,38825,427,373,2.5,2.2
57,광진구,2021-3,18914,50190,457,440,2.4,2.3
58,동대문구,2021-3,20881,64899,455,438,2.2,2.1
59,중랑구,2021-3,16251,51686,418,372,2.6,2.3
60,성북구,2021-3,17039,42128,399,406,2.3,2.4
61,강북구,2021-3,13396,35103,348,349,2.6,2.6
62,도봉구,2021-3,11731,29170,297,274,2.5,2.3
63,노원구,2021-3,18177,25642,423,444,2.3,2.4
64,은평구,2021-3,18411,37436,432,436,2.3,2.4
65,서대문구,2021-3,14828,50812,325,326,2.2,2.2
66,마포구,2021-3,28432,41682,792,716,2.8,2.5
67,양천구,2021-3,18460,45722,455,419,2.5,2.3
68,강서구,2021-3,26473,26255,799,645,3.0,2.4
69,구로구,2021-3,22119,35458,464,434,2.1,2.0
70,금천구,2021-3,15587,30473,340,302,2.2,1.9
71,영등포구,2021-3,27048,43976,587,584,2.2,2.2
72,동작구,2021-3,15641,46377,288,350,1.8,2.2
73,관악구,2021-3,19728,41769,496,482,2.5,2.4
74,서초구,2021-3,36174,19524,671,658,1.9,1.8
75,강남구,2021-3,55833,33489,1267,1173,2.3,2.1
76,송파구,2021-3,37411,35795,895,783,2.4,2.1
77,강동구,2021-3,21116,44374,531,434,2.5,2.1
78,서울시 전체,2021-4,572605,36238,13582,12532,2.4,2.2
79,종로구,2021-4,24694,20357,434,459,1.8,1.9
80,중구,2021-4,37465,45521,448,657,1.2,1.8
81,용산구,2021-4,18752,26106,399,337,2.1,1.8
82,성동구,2021-4,17279,39027,463,360,2.7,2.1
83,광진구,2021-4,18884,50823,486,505,2.6,2.7
84,동대문구,2021-4,20857,66054,431,425,2.1,2.0
85,중랑구,2021-4,16280,51360,454,405,2.8,2.5
86,성북구,2021-4,17039,42405,405,388,2.4,2.3
87,강북구,2021-4,13400,34563,337,327,2.5,2.4
88,도봉구,2021-4,11734,28760,280,268,2.4,2.3
89,노원구,2021-4,18211,25559,485,436,2.7,2.4
90,은평구,2021-4,18472,37242,517,435,2.8,2.4
91,서대문구,2021-4,14822,52339,366,351,2.5,2.4
92,마포구,2021-4,28580,41964,847,696,3.0,2.4
93,양천구,2021-4,18519,45316,495,416,2.7,2.2
94,강서구,2021-4,26600,25879,862,722,3.2,2.7
95,구로구,2021-4,22124,35457,468,453,2.1,2.0
96,금천구,2021-4,15635,30469,370,305,2.4,2.0
97,영등포구,2021-4,27054,44579,588,555,2.2,2.1
98,동작구,2021-4,15552,46113,331,403,2.1,2.6
99,관악구,2021-4,19773,41614,574,522,2.9,2.6
100,서초구,2021-4,36098,19960,655,710,1.8,2.0
101,강남구,2021-4,56120,34124,1375,1067,2.5,1.9
102,송파구,2021-4,37495,35691,935,814,2.5,2.2
103,강동구,2021-4,21166,43748,577,516,2.7,2.4
104,서울시 전체,2022-1,575518,36420,11421,8227,2.0,1.4
105,종로구,2022-1,24771,19747,396,304,1.6,1.2
106,중구,2022-1,37337,19747,348,444,0.9,1.2
107,용산구,2022-1,18868,25927,351,227,1.9,1.2
108,성동구,2022-1,17381,38730,374,259,2.2,1.5
109,광진구,2022-1,19023,51972,425,276,2.2,1.5
110,동대문구,2022-1,20946,65974,386,275,1.8,1.3
111,중랑구,2022-1,16380,51985,365,254,2.2,1.6
112,성북구,2022-1,17133,42234,361,266,2.1,1.6
113,강북구,2022-1,13480,34857,298,209,2.2,1.6
114,도봉구,2022-1,11820,28954,266,174,2.3,1.5
115,노원구,2022-1,18307,25577,379,275,2.1,1.5
116,은평구,2022-1,18606,37964,439,302,2.4,1.6
117,서대문구,2022-1,14914,52472,292,198,2.0,1.2
118,마포구,2022-1,28815,41790,679,436,2.4,1.5
119,양천구,2022-1,18644,45985,414,287,2.2,1.5
120,강서구,2022-1,26841,26258,749,496,2.8,1.8
121,구로구,2022-1,22226,35906,403,287,1.8,1.3
122,금천구,2022-1,15708,30785,293,211,1.9,1.3
123,영등포구,2022-1,27197,45092,540,405,2.0,1.5
124,동작구,2022-1,15636,46606,292,195,1.9,1.2
125,관악구,2022-1,19848,42401,419,334,2.1,1.7
126,서초구,2022-1,36220,19786,617,469,1.7,1.3
127,강남구,2022-1,56417,33895,1100,780,1.9,1.4
128,송파구,2022-1,37686,36290,772,556,2.0,1.5
129,강동구,2022-1,21314,43742,463,308,2.2,1.4
130,서울시 전체,2022-2,577194,36608,13730,9001,2.4,1.6
131,종로구,2022-2,24807,21203,450,302,1.8,1.2
132,중구,2022-2,37212,47546,437,388,1.2,1.0
133,용산구,2022-2,18969,26575,438,271,2.3,1.4
134,성동구,2022-2,17463,38776,475,295,2.7,1.7
135,광진구,2022-2,19076,52125,498,334,2.6,1.8
136,동대문구,2022-2,21022,67266,501,302,2.4,1.4
137,중랑구,2022-2,16466,51104,439,274,2.7,1.7
138,성북구,2022-2,17176,43375,415,233,2.4,1.4
139,강북구,2022-2,13526,34279,373,241,2.8,1.8
140,도봉구,2022-2,11843,28677,308,226,2.6,1.9
141,노원구,2022-2,18388,25312,459,292,2.5,1.6
142,은평구,2022-2,18677,37219,485,315,2.6,1.7
143,서대문구,2022-2,14957,53464,350,245,2.3,1.6
144,마포구,2022-2,29030,42779,893,542,3.1,1.9
145,양천구,2022-2,18705,45514,491,346,2.6,1.8
146,강서구,2022-2,27077,25809,862,468,3.2,1.7
147,구로구,2022-2,22218,35555,443,316,2.0,1.4
148,금천구,2022-2,15719,30328,340,252,2.2,1.6
149,영등포구,2022-2,27207,45265,593,399,2.2,1.5
150,동작구,2022-2,15698,46535,377,236,2.4,1.5
151,관악구,2022-2,19883,42119,529,378,2.7,1.9
152,서초구,2022-2,36265,20119,712,487,2.0,1.3
153,강남구,2022-2,56587,35311,1338,882,2.4,1.6
154,송파구,2022-2,37842,36299,951,597,2.5,1.6
155,강동구,2022-2,21381,43184,573,380,2.7,1.8
156,서울시 전체,2022-3,575039,35790,13397,15201,2.3,2.6
157,종로구,2022-3,24758,20461,459,502,1.9,2.0
158,중구,2022-3,36837,45858,447,794,1.2,2.2
159,용산구,2022-3,18942,25914,396,408,2.1,2.2
160,성동구,2022-3,17426,37940,406,430,2.3,2.5
161,광진구,2022-3,19003,50508,475,540,2.5,2.8
162,동대문구,2022-3,20902,64944,425,534,2.0,2.6
163,중랑구,2022-3,16397,49884,460,524,2.8,3.2
164,성북구,2022-3,17119,42050,436,474,2.5,2.8
165,강북구,2022-3,13477,33667,364,400,2.7,3.0
166,도봉구,2022-3,11788,27920,291,345,2.5,2.9
167,노원구,2022-3,18289,24533,456,543,2.5,3.0
168,은평구,2022-3,18599,36400,468,540,2.5,2.9
169,서대문구,2022-3,14913,52360,405,438,2.7,2.9
170,마포구,2022-3,29071,42256,888,835,3.1,2.9
171,양천구,2022-3,18598,44181,420,522,2.3,2.8
172,강서구,2022-3,26977,25494,817,912,3.0,3.4
173,구로구,2022-3,22111,35156,470,556,2.1,2.5
174,금천구,2022-3,15690,29881,380,393,2.4,2.5
175,영등포구,2022-3,27104,44849,645,731,2.4,2.7
176,동작구,2022-3,15591,45182,347,437,2.2,2.8
177,관악구,2022-3,19717,41141,538,691,2.7,3.5
178,서초구,2022-3,36182,19558,634,702,1.8,1.9
179,강남구,2022-3,56542,34971,1258,1261,2.2,2.2
180,송파구,2022-3,37748,35427,969,1042,2.6,2.8
181,강동구,2022-3,21258,42407,543,647,2.6,3.0
