시군구_코드,시군구_코드_명,,
11110,종로구,,
11140,중구,,
11170,용산구,,
11200,성동구,,
11215,광진구,,
11230,동대문구,,
11260,중랑구,,
11290,성북구,,
11305,강북구,,
11320,도봉구,,
11350,노원구,,
11380,은평구,,
11410,서대문구,,
11440,마포구,,
11470,양천구,,
11500,강서구,,
11530,구로구,,
11545,금천구,,
11560,영등포구,,
11590,동작구,,
11620,관악구,,
11650,서초구,,
11680,강남구,,
11710,송파구,,
11740,강동구,,
26000,부산,,
27000,대구,,
28110,인천중구,,
28140,인천동구,,
28177,인천미추홀구,,
28185,인천연수구,,
28200,인천남동구,,
28237,인천부평구,,
28245,인천계양구,,
28260,인천서구,,
28710,인천강화군,,
28720,인천옹진군,,
29000,광주,,
30000,대전,,
31000,울산,,
36000,세종,,
41111,수원시 장안구,,
41113,수원시 권선구,,
41115,수원시 팔달구,,
41117,수원시 영통구,,
41131,성남시 수정구,,
41133,성남시 중원구,,
41135,성남시 분당구,,
41150,의정부시,,
41171,안양시 만안구,,
41173,안양시 동안구,,
41190,부천시,,
41210,광명시,,
41220,평택시,,
41250,동두천시,,
41271,안산시 상록구,,
41273,안산시 단원구,,
41281,고양시 덕양구,,
41285,고양시 일산동구,,
41287,고양시 일산서구,,
41290,과천시,,
41310,구리시,,
41360,남양주시,,
41370,오산시,,
41390,시흥시,,
41410,군포시,,
41430,의왕시,,
41450,하남시,,
41461,용인시 처인구,,
41463,용인시 기흥구,,
41465,용인시 수지구,,
41480,파주시,,
41500,이천시,,
41550,안성시,,
41570,김포시,,
41590,화성시,,
41610,광주시,,
41630,양주시,,
41650,포천시,,
41670,여주시,,
41800,연천군,,
41820,가평군,,
41830,양평군,,
42000,강원,,
43000,충북,,
44000,충남,,
45000,전북,,
46000,전남,,
47000,경북,,
48000,경남,,
50000,제주,,